Date | mars_base_internal_temperature | mars_base_external_temperature | mars_base_internal_humidity | mars_base_external_illuminance | mars_base_internal_co2 | mars_base_internal_oxygen
2025-04-05 17:13:25 | 28.24 | 16.49 | 58.88 | 704.47 | 0.07 | 6.21
2025-04-05 17:13:54 | 21.45 | 3.05 | 56.46 | 621.85 | 0.06 | 4.69
2025-04-05 17:14:14 | 18.06 | 11.00 | 59.30 | 689.18 | 0.05 | 5.77
2025-04-05 17:14:34 | 20.77 | 12.00 | 50.37 | 675.39 | 0.05 | 5.48
2025-04-05 17:14:54 | 24.76 | 16.53 | 50.01 | 589.06 | 0.08 | 6.94
2025-04-05 17:15:14 | 30.29 | 9.44 | 56.44 | 581.98 | 0.04 | 5.79
2025-04-05 17:15:34 | 18.50 | 11.22 | 53.95 | 686.46 | 0.08 | 6.61
2025-04-05 17:15:54 | 20.82 | 2.51 | 51.13 | 526.59 | 0.03 | 4.05
2025-04-05 17:16:14 | 21.31 | 11.62 | 53.88 | 680.04 | 0.06 | 5.54
2025-04-05 17:16:34 | 20.27 | 15.35 | 55.77 | 681.79 | 0.06 | 4.32
2025-04-05 17:16:55 | 24.36 | 10.82 | 58.06 | 662.53 | 0.06 | 6.95
2025-04-05 17:17:15 | 29.49 | 14.78 | 51.13 | 572.65 | 0.08 | 5.35
2025-04-05 17:17:35 | 26.00 | 8.98 | 50.75 | 676.51 | 0.08 | 5.94
2025-04-05 17:17:55 | 27.54 | 14.98 | 52.73 | 585.19 | 0.08 | 5.49
2025-04-05 17:18:15 | 20.88 | 8.84 | 59.99 | 567.39 | 0.02 | 4.52
2025-04-05 17:18:35 | 18.01 | 16.30 | 55.25 | 538.64 | 0.10 | 5.16
2025-04-05 17:18:55 | 21.49 | 16.97 | 56.88 | 624.20 | 0.08 | 5.61
2025-04-05 17:19:15 | 19.69 | 16.99 | 52.95 | 668.59 | 0.05 | 6.50
2025-04-05 17:19:35 | 30.37 | 8.01 | 50.92 | 599.02 | 0.02 | 5.05
